Iteration,String
0,"Once upon a timeVSD;ue sA OdUO-NZDZc&bABFtTBREiXHY;Wc;IHPtl33URRXSemNt
X3.GnurRxGV3aA? h-JKnsijB mmqedk. cmLMK&'Pisj"
100,"Once upon a time?

TO:
VENUPUS d,
I!

AKTLEPCKRS:
S:
WYOOO:
A wend MA:
CANEPHEF,
ERERNIz:

Tjas, tany t

O$ AY:
Bull"
200,"Once upon a time marakn'd'dt f pe ind adongh?

CARIUMENINTDTZERGN:
Shacor my Re, theek,
LThanthas t souro n calllson"
300,"Once upon a time do frill 
and wOf igolr vo tonme hendaist where
Lofhoat thim iututs youe to sand! soof hoe willdDen"
400,"Once upon a time wampe
Whate Pos, Sawan:
Soy what him le thOrs:
the froRt peid, ur net limp yort;
His man, to hey a "
500,"Once upon a timend anbe.
TBUTRZARESES:
Wo hat'e. Glcing fals the moi.

HAnd me but,'d mett, not I hanst muck oset we"
600,"Once upon a timent;' thy where inct never,
Tath, vorthy,
Lewsectimeght? hear, a bere sto kear.
'That rudker:
Woither"
700,"Once upon a timeI rembss word,
GUKE sham INGed wise not how'd in
hand x lowll.

GROMEO:
Twith tis I pereard whan a m"
800,"Once upon a time and hime!
More hobermoK'd Lenatant withery, 'tistir;
Heave purt. are cave sin: and that so be Afthe"
900,"Once upon a timenth?
You shall land you's thegald,
In in an came tinter overy till
That they in is andire out.

TROS"
1000,"Once upon a time,

discarort at nobling thou that thereffencee all secomes,
Hight thereful, and are all hinks the wh"
1100,"Once upon a time to nun
Have.

LEONTES:
Why thencord o' life, man yet to sake mackance.

WLLORIZED:
He lixdio, dreat"
1200,"Once upon a time and I SA qloog
And not! my say ard nurshed all alnvouze, briaxe?

COMILLO:
Ming see, no a traper'g "
1300,"Once upon a times,

As the rough, fair brace ofdion Elms stark's to itself,
Or justful divash lefore.

LEONTES:
O ar"
1400,"Once upon a time.

KING RICHARD II:
Indes hould, to the bear all is slave
Then it trusine is as row our weach.
O a l"
1500,"Once upon a time of soon.

PAULINA:
Warewick, wisehr to you wo thise the with remand!
And the paguives from is Englo"
1600,"Once upon a timed which tongo whip prizes;
And thy earthy the stlateting begent shall soldieus woodr's.

CABETBackin"
1700,"Once upon a timey.

QUEEN! them I?

VAULINe, thy trither of my erple
Swhat saftarful affecti, willly; that, slaf,
To"
1800,"Once upon a time teal marrih, I widown's to the bone bunilght?

HORTENSIO:
Much, as is on, I'll destrandally;
No the"
1900,"Once upon a time,
The conquiting; as we Yorkings,
His her: Here would divold, gentlewhand in you fineed's
what widow"
2000,"Once upon a time
amorriention, meet
The counself diar sing apparay, such my! vill he firmiteously.

ROMEO:
At, the d"
